dimension,agent_count,policy_count,record_count,iterations,avg_latency_ms,p95_latency_ms,success_rate,denial_reasons
agent_count,2,100,100,20,1.8531,2.7151,1.0,
agent_count,8,100,100,20,1.8835,3.0851,1.0,
agent_count,32,100,100,20,1.8533,2.1581,1.0,
policy_count,8,10,100,20,2.0555,3.1403,1.0,
policy_count,8,100,100,20,1.6599,2.0215,1.0,
policy_count,8,500,100,20,2.1698,3.1818,1.0,
record_count,8,100,10,20,1.8954,2.5351,1.0,
record_count,8,100,100,20,1.722,2.17,1.0,
record_count,8,100,500,20,1.8074,2.7106,1.0,
