reason,count,attacks
contact_requester_mismatch,1,requester_mismatch
data_class_denied,2,unauthorized_data_class;compromised_requester_exfiltration
provider_public_material_recovery_blocked,1,provider_plaintext_probe
purpose_mismatch,1,purpose_mismatch
record_scope_denied,1,metadata_linkage_probe
token_exhausted,1,token_reuse
version_out_of_bounds,1,stale_rekey_use
