case,baseline_evidence_path,baseline_conclusion,saga_contact_allowed,presaga_data_allowed,data_layer_decision,reason,plaintext_released,provider_plaintext_data_visible,provider_plaintext_dek_visible
alice_bob_authorized_calendar,saga_reproduction/saga_e2e_terminal_output.txt,"Alice and Bob completed certificate-verified contact, token issuance, quota consumption, and token invalidation.",True,True,allow,policy_match,True,False,False
alice_mallory_contact_allowed_data_denied,saga_reproduction/saga_multi_agent_terminal_output.txt,Alice accepted separately authorized Bob and Mallory contact sessions; both consumed and invalidated SAGA tokens.,True,False,deny,requester_mismatch,False,False,False
