task,contact_ms,authorization_ms,pre_transform_ms,decrypt_ms,total_latency_ms
schedule_meeting,0.216,0.223,0.951,0.986,4.297
expense_report,0.221,0.173,0.936,1.014,4.12
collaborative_writing,0.25,0.173,0.832,0.982,4.519
cross_agent_memory_query,0.618,0.33,1.411,1.569,7.819
