task,success,reason,latency_ms,plaintext,audit_events,contact_ms,authorization_ms,pre_transform_ms,decrypt_ms
schedule_meeting,True,task_completed,4.297,"{""availability"": ""Alice is free from 10:00 to 11:00.""}",2,0.216,0.223,0.951,0.986
expense_report,True,task_completed,4.12,"{""receipt_summary"": ""Taxi receipt total 42.50 USD.""}",2,0.221,0.173,0.936,1.014
collaborative_writing,True,task_completed,4.519,"{""outline"": ""Draft outline for joint report.""}",2,0.25,0.173,0.832,0.982
cross_agent_memory_query,True,task_completed,7.819,"{""summary"": ""Alice prefers morning meetings.""}",2,0.618,0.33,1.411,1.569
