dimension,agent_count,policy_count,record_count,iterations,avg_latency_ms,p95_latency_ms,success_rate,denial_reasons
agent_count,2,100,100,20,0.22,0.4006,1.0,
agent_count,8,100,100,20,0.2521,0.4041,1.0,
agent_count,32,100,100,20,0.3513,0.3948,1.0,
policy_count,8,10,100,20,0.2611,0.5483,1.0,
policy_count,8,100,100,20,0.2399,0.3587,1.0,
policy_count,8,500,100,20,0.3499,0.4811,1.0,
record_count,8,100,10,20,0.2504,0.4911,1.0,
record_count,8,100,100,20,0.2149,0.2596,1.0,
record_count,8,100,500,20,0.2329,0.3264,1.0,
