attack,baseline_contact_allowed,expected_blocked,blocked,success,reason,latency_ms,audit_id,strength_note
unauthorized_data_class,True,True,True,True,data_class_denied,0.28,audit-3b2c57aef2085a04,SAGA-style contact gate allows the requester; PRE-SAGA blocks at Data Sharing Policy.
purpose_mismatch,True,True,True,True,purpose_mismatch,0.25,audit-44a0b95b1d6a4545,"A valid token is first issued, then misused with a different purpose to test token binding."
token_reuse,True,True,True,True,token_exhausted,0.234,audit-b7ffcaf6806ba23f,The first authorized transform consumes the only allowed use; the replay is rejected.
requester_mismatch,True,True,True,True,requester_mismatch,0.155,audit-7abb6d0092f2ddd8,"Carol also passes contact policy, but cannot use Bob's data token."
